"filename", "language", "JavaScript", "JSON", "HTML", "Markdown", "vue", "CSS", "XML", "comment", "blank", "total"
"d:\Workspace\VSCode\Vue\demo\demo2\README.md", "Markdown", 0, 0, 0, 18, 0, 0, 0, 0, 12, 30
"d:\Workspace\VSCode\Vue\demo\demo2\index.html", "HTML", 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"d:\Workspace\VSCode\Vue\demo\demo2\package-lock.json", "JSON", 0, 2116, 0, 0, 0, 0, 0, 0, 1, 2117
"d:\Workspace\VSCode\Vue\demo\demo2\package.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"d:\Workspace\VSCode\Vue\demo\demo2\src\App.vue", "vue", 0, 0, 0, 0, 8, 0, 0, 5, 2, 15
"d:\Workspace\VSCode\Vue\demo\demo2\src\assets\base.css", "CSS", 0, 0, 0, 0, 0, 59, 0, 2, 14, 75
"d:\Workspace\VSCode\Vue\demo\demo2\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Workspace\VSCode\Vue\demo\demo2\src\assets\main.css", "CSS", 0, 0, 0, 0, 0, 29, 0, 0, 7, 36
"d:\Workspace\VSCode\Vue\demo\demo2\src\components\PicCode\PicCode.vue", "vue", 0, 0, 0, 0, 74, 0, 0, 0, 6, 80
"d:\Workspace\VSCode\Vue\demo\demo2\src\components\PicCode\piccode.js", "JavaScript", 114, 0, 0, 0, 0, 0, 0, 16, 9, 139
"d:\Workspace\VSCode\Vue\demo\demo2\src\components\form\FindPasswordForm.vue", "vue", 0, 0, 0, 0, 172, 0, 0, 0, 9, 181
"d:\Workspace\VSCode\Vue\demo\demo2\src\components\form\LoginForm.vue", "vue", 0, 0, 0, 0, 211, 0, 0, 4, 16, 231
"d:\Workspace\VSCode\Vue\demo\demo2\src\components\form\RegisterForm.vue", "vue", 0, 0, 0, 0, 403, 0, 0, 3, 21, 427
"d:\Workspace\VSCode\Vue\demo\demo2\src\components\form\slideForm.vue", "vue", 0, 0, 0, 0, 57, 0, 0, 0, 9, 66
"d:\Workspace\VSCode\Vue\demo\demo2\src\components\icons\IconCommunity.vue", "vue", 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\Workspace\VSCode\Vue\demo\demo2\src\components\icons\IconDocumentation.vue", "vue", 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\Workspace\VSCode\Vue\demo\demo2\src\components\icons\IconEcosystem.vue", "vue", 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\Workspace\VSCode\Vue\demo\demo2\src\components\icons\IconSupport.vue", "vue", 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\Workspace\VSCode\Vue\demo\demo2\src\components\icons\IconTooling.vue", "vue", 0, 0, 0, 0, 18, 0, 0, 1, 1, 20
"d:\Workspace\VSCode\Vue\demo\demo2\src\components\static\ImageSwiper.vue", "vue", 0, 0, 0, 0, 38, 0, 0, 0, 5, 43
"d:\Workspace\VSCode\Vue\demo\demo2\src\components\static\ValidateCaptcha.vue", "vue", 0, 0, 0, 0, 42, 0, 0, 0, 0, 42
"d:\Workspace\VSCode\Vue\demo\demo2\src\main.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 2, 9, 24
"d:\Workspace\VSCode\Vue\demo\demo2\src\router\index.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 5, 49
"d:\Workspace\VSCode\Vue\demo\demo2\src\utils\api.js", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 13, 11, 97
"d:\Workspace\VSCode\Vue\demo\demo2\src\utils\math.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 2, 2, 20
"d:\Workspace\VSCode\Vue\demo\demo2\src\utils\request.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 6, 4, 47
"d:\Workspace\VSCode\Vue\demo\demo2\src\views\APPLayout.vue", "vue", 0, 0, 0, 0, 65, 0, 0, 1, 3, 69
"d:\Workspace\VSCode\Vue\demo\demo2\src\views\AppMenu.vue", "vue", 0, 0, 0, 0, 47, 0, 0, 18, 4, 69
"d:\Workspace\VSCode\Vue\demo\demo2\src\views\ForgetPwd.vue", "vue", 0, 0, 0, 0, 22, 0, 0, 0, 2, 24
"d:\Workspace\VSCode\Vue\demo\demo2\src\views\History.vue", "vue", 0, 0, 0, 0, 215, 0, 0, 0, 18, 233
"d:\Workspace\VSCode\Vue\demo\demo2\src\views\Home.vue", "vue", 0, 0, 0, 0, 280, 0, 0, 1, 52, 333
"d:\Workspace\VSCode\Vue\demo\demo2\src\views\Login.vue", "vue", 0, 0, 0, 0, 29, 0, 0, 0, 5, 34
"d:\Workspace\VSCode\Vue\demo\demo2\src\views\NotFound.vue", "vue", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"d:\Workspace\VSCode\Vue\demo\demo2\src\views\Order.vue", "vue", 0, 0, 0, 0, 164, 0, 0, 0, 16, 180
"d:\Workspace\VSCode\Vue\demo\demo2\src\views\Register.vue", "vue", 0, 0, 0, 0, 13, 0, 0, 0, 6, 19
"d:\Workspace\VSCode\Vue\demo\demo2\src\views\Show.vue", "vue", 0, 0, 0, 0, 403, 0, 0, 0, 55, 458
"d:\Workspace\VSCode\Vue\demo\demo2\vite.config.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 2, 5, 27
"Total", "-", 317, 2141, 13, 18, 2293, 88, 1, 76, 315, 5262
